county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_highschool,prop_GED,prop_some_college,prop_college_no_degree,prop_associates,prop_bachelors,prop_masters,prop_professional,prop_doctoral,prop_poverty,perc_poverty,median_income_thousand
Alabama,2021,5039877,53913,861,760,0.5146913307606515,0.4853086692393485,0.6511827570395071,0.2589559229322462,0.00492670753671171,0.0136537062313227,3.295715351783387e-4,0.02122571642125393,0.04972561830378003,0.26157768526266745,0.05114904694240393,0.06236511969142399,0.1421029969796083,0.08780345896277478,0.16581904075326667,0.07867216348594464,0.01676688278423091,0.01307078564954647,0.16142826107235014,16.142826107235013,53.913
Alaska,2021,732673,77845,1259,1403,0.4770914173171388,0.5229085826828612,0.5937218923039337,0.03003113257892675,0.13702838783468205,0.06462228033515634,0.01524691096846751,0.02609349600708638,0.13325589997174728,0.225009726645244,0.05386811698323723,0.07182278361147765,0.17160066614653988,0.08291012991504368,0.2087821828444622,0.08053044697280039,0.02561658696650122,0.01297709452240628,0.10486642139936296,10.486642139936295,77.845
Arizona,2021,7276316,69056,1253,1124,0.5011733959877498,0.49882660401225015,0.5829418348515925,0.04489057374638484,0.04049549249922626,0.03371005327421184,0.00170855691259148,0.0953072956149788,0.2009461931010143,0.19427295199463004,0.04026265903419013,0.07631191473118973,0.16072033455032902,0.09383074945128776,0.1979145018861325,0.09139756122978208,0.01966910808732893,0.01531294217995432,0.12753892629785896,12.753892629785895,69.056
Arkansas,2021,3025891,52528,820,737,0.5063665545123733,0.4936334454876266,0.6992475935187354,0.1478579367201264,0.00563734780928989,0.01451737686519441,0.00390430455029609,0.02993762828865944,0.09889781224769828,0.28113230046870025,0.05995839555434072,0.0675294428252942,0.14605525765263183,0.07927418448563449,0.15906511208614543,0.06879406486426537,0.01419988487375617,0.01068573725207494,0.1630794395522994,16.307943955229938,52.528
California,2021,39237836,84907,1750,1912,0.4999995922303157,0.5000004077696844,0.3935939790359489,0.05508675351005596,0.01364672608346698,0.152085222029064,0.003876997701912,0.1917397789215491,0.1899705427180031,0.1824571498285629,0.02486444657162768,0.06083307205991972,0.1356710803757536,0.07879172507305778,0.22140687492755912,0.09563290702009734,0.02583167536044118,0.01899641354627181,0.12299417464728124,12.299417464728124,84.907
Colorado,2021,5812069,82254,1491,1558,0.49363350641570153,0.5063664935842984,0.7056666051280533,0.03946391551786463,0.01038821115165701,0.03184631841087915,0.0014913794037889,0.06225855198897329,0.14888501839878365,0.16294345803428234,0.03842557036256034,0.05930222724892203,0.13689022897584727,0.08262659791275467,0.27380295941181676,0.12378795019610889,0.02616351093991319,0.02039967538552914,0.09713103961630155,9.713103961630155,82.254
Connecticut,2021,3605597,83771,1277,1660,0.5096387643987944,0.4903612356012056,0.653034712420717,0.1056263359438118,0.0033941674568733,0.04794712221027475,4.099182465483525e-4,0.07346772254358987,0.11612002117818492,0.22441342563218716,0.03078785468296732,0.05478666148984996,0.10567413832833011,0.07420761560242048,0.23188745474231132,0.13739752901700458,0.03278045562300148,0.01921025135970353,0.10101060228291046,10.101060228291047,83.771
Delaware,2021,1003384,71091,1208,1175,0.5157307670841871,0.48426923291581286,0.6077025346228363,0.20766625738500913,0.00337358379244636,0.04092750133548073,4.136003763265111e-4,0.04558872774530987,0.09432779474259108,0.2511868868688687,0.03198688236882369,0.05872980604806048,0.12251372513725137,0.09294983574835748,0.20572940104401044,0.11358535460354605,0.02010113851138511,0.01677954279542795,0.1159220374485912,11.59220374485912,71.091
District of Columbia,2021,670050,90088,1668,2196,0.523878815013805,0.47612118498619505,0.3788403850458921,0.4317618088202373,0.00191179762704275,0.0413282590851429,2.2834116856950977e-4,0.04948884411611073,0.0964405641370047,0.12485222672910393,0.02328656109145442,0.03053215086867708,0.08689486062317503,0.03182085911097929,0.25225053992071417,0.22842092511289253,0.1005004448863138,0.04929674543730444,0.16471918819246076,16.471918819246074,90.088
Florida,2021,21781128,63062,1348,1105,0.5080824096897094,0.49191759031029064,0.5606109564206225,0.15084700847449223,0.00291720428804238,0.02847694573026704,5.717334749605255e-4,0.06535373190956868,0.19122241970204665,0.23390657679213497,0.04292581925200173,0.06496371491097455,0.12414553065887957,0.10039917214192354,0.2060776461443453,0.08682181244378136,0.02438142529286348,0.01432713184176597,0.13128803635813124,13.128803635813124,63.062
