month,day,year,capture_time,release_time,band_number,species,age,sex,wing_mm,weight_g,culmen_mm,hallux_mm,tail_mm,standard_tail_mm,tarsus_mm,wing_pit_fat,keel_fat,crop
9,19,1992,13:30,,877-76317,Red-tailed,Imature,NA,385,920,25.7,30.1,219,NA,NA,NA,NA,NA
9,22,1992,10:30, ,877-76318,Red-tailed,Imature,NA,376,930,NA,NA,221,NA,NA,NA,NA,NA
9,23,1992,12:45, ,877-76319,Red-tailed,Imature,NA,381,990,26.7,31.3,235,NA,NA,NA,NA,NA
9,23,1992,10:50, ,745-49508,Coopers,Imature,Female,265,470,18.7,23.5,220,NA,NA,NA,NA,NA
9,27,1992,11:15, ,1253-98801,Sharp-shinned,Imature,Female,205,170,12.5,14.3,157,NA,NA,NA,NA,NA
9,28,1992,11:25, ,1207-55910 ,Red-tailed,Imature,NA,412,1090,28.5,32.2,230,NA,NA,NA,NA,NA
9,28,1992,13:30, ,877-76320,Red-tailed,Imature,NA,370,960,25.3,30.1,212,NA,NA,NA,NA,NA
9,29,1992,11:45, ,877-76321,Red-tailed,Adult,NA,375,855,27.2,30,243,NA,NA,NA,NA,NA
9,29,1992,15:35, ,877-76322,Red-tailed,Adult,NA,412,1210,29.3,31.3,210,NA,NA,NA,NA,NA
9,30,1992,13:45, ,1207-55911,Red-tailed,Imature,NA,405,1120,26,30.2,238,NA,NA,NA,NA,NA
10,5,1992,13:30, ,877-76323,Red-tailed,Imature,NA,393,1010,26.3,30.8,222,NA,NA,NA,NA,NA
10,8,1992,13:45, ,877-76324,Red-tailed,Imature,NA,371,1010,25.4,29.7,217,NA,NA,NA,NA,NA
10,9,1992,12:30, ,877-76325,Red-tailed,Adult,NA,390,1120,28.9,30.9,213,NA,NA,NA,NA,NA
10,10,1992,11:05, ,1207-55917,Red-tailed,Adult,NA,393,NA,28.2,30.6,238,NA,NA,NA,NA,NA
10,11,1992,11:00, ,1207-55912,Red-tailed,Imature,NA,416,1170,26.5,34,243,NA,NA,NA,NA,NA
10,11,1992,11:45, ,1207-55913,Red-tailed,Adult,NA,436,1390,30.5,34,232,NA,NA,NA,NA,NA
10,11,1992,12:40, ,877-76326,Red-tailed,Imature,NA,418,1150,27.1,31,238,NA,NA,NA,NA,NA
10,11,1992,14:20, ,877-76327,Red-tailed,Adult,NA,381,950,28.9,28.9,202,NA,NA,NA,NA,NA
10,12,1992,13:40, ,877-76328,Red-tailed,Imature,NA,378,910,25.7,28.2,227,NA,NA,NA,NA,NA
10,13,1992,11:00, ,877-76329,Red-tailed,Imature,NA,396,1010,24,26.9,227,NA,NA,NA,NA,NA
10,13,1992,14:50, ,877-76330,Red-tailed,Imature,NA,399,1070,26.4,31.2,222,NA,NA,NA,NA,NA
10,14,1992,13:15, ,877-76331,Red-tailed,Imature,NA,416,1190,28.8,31.6,237,NA,NA,NA,NA,NA
10,17,1992,12:10, ,877-76332,Red-tailed,Imature,NA,415,101,24.9,30.7,238,NA,NA,NA,NA,NA
10,22,1992,13:05, ,877-76333,Red-tailed,Adult,NA,392,1330,27,30.3,213,NA,NA,NA,NA,NA
10,23,1992,11:45, ,877-76334,Red-tailed,Imature,NA,380,990,26,30,211,NA,NA,NA,NA,NA
10,23,1992,16:05, ,1173-19901,Sharp-shinned,Imature,Male,173,100,NA,NA,130,NA,NA,NA,NA,NA
10,24,1992,14:35, ,877-76335,Red-tailed,Imature,NA,399,1100,26.2,32.5,190,NA,NA,NA,NA,NA
10,25,1992,12:05, ,1207-55914,Red-tailed,Adult,NA,401,1190,28.6,31.6,245,NA,NA,NA,NA,NA
10,27,1992,10:05, ,1253-98802,Sharp-shinned,Imature,Female,205,180,11.7,15,164,NA,NA,NA,NA,NA
10,27,1992,10:45, ,608-48703,Red-tailed,Imature,NA,427,1490,30.1,32.4,246,NA,NA,NA,NA,NA
10,27,1992,15:15, ,1207-55915,Red-tailed,Adult,NA,395,1040,27.1,31.4,207,NA,NA,NA,NA,NA
10,30,1992,11:05, ,877-76336,Red-tailed,Imature,NA,362,820,24.9,27.9,209,NA,NA,NA,NA,NA
11,3,1992,10:15, ,1207-55916,Red-tailed,Adult,NA,396,1030,26,29.7,200,NA,NA,NA,NA,NA
11,8,1992,11:45, ,1207-55918,Red-tailed,Adult,NA,391,1300,25.5,32.4,215,NA,NA,NA,NA,NA
11,8,1992,13:30, ,1207-55919,Red-tailed,Adult,NA,413,1500,26.5,31.3,219,NA,NA,NA,NA,NA
11,13,1992,10:45, ,987-53707,Red-tailed,Adult,NA,371,1080,25.3,27.2,198,NA,NA,NA,NA,NA
11,16,1992,11:15, ,1207-55920,Red-tailed,Adult,NA,385,1320,27.3,30.1,207,NA,NA,NA,NA,NA
11,21,1992,14:00, ,877-76337,Red-tailed,Adult,NA,378,1490,25.4,31.3,204,NA,NA,NA,NA,NA
11,22,1992,10:08, ,1207-55921,Red-tailed,Adult,NA,416,1500,29.1,30.8,205,NA,NA,NA,NA,NA
9,13,1993,14:25, ,173-19904,Sharp-shinned,Imature,Male,193,100,9.3,101,144,NA,NA,NA,NA,NA
9,17,1993,15:25, ,193-19905,Sharp-shinned,Imature,Male,171,88,9.7,11.5,136,NA,NA,NA,NA,NA
9,20,1993,13:45, ,120407-804,Coopers,Imature,NA,233,324,16,19.3,191,NA,NA,NA,NA,NA
9,21,1993,15:11, ,877-76339,Red-tailed,Imature,NA,384,1060,26.1,31.2,230,NA,NA,NA,NA,NA
9,22,1993,13:50, ,877-76340,Red-tailed,Imature,NA,382,1140,25.1,29.4,227,NA,NA,NA,NA,NA
9,22,1993,15:55, ,877-76341,Red-tailed,Imature,NA,390,1030,27.6,30.3,208,NA,NA,NA,NA,NA
9,27,1993,12:15, ,877-76342,Red-tailed,Imature,NA,390,1000,25.1,28.3,231,NA,NA,NA,NA,NA
9,27,1993,13:00, ,877-76344,Red-tailed,Imature,NA,393,1050,28.7,29.8,222,NA,NA,NA,NA,NA
9,27,1993,13:20, ,877-76345,Red-tailed,Imature,NA,378,1040,26.2,31.2,225,NA,NA,NA,NA,NA
9,27,1993,15:03, ,877-76346,Red-tailed,Imature,NA,398,1110,26.5,30.9,225,NA,NA,NA,NA,NA
9,28,1993,11:50, ,877-76347,Red-tailed,Imature,NA,412,1300,27.9,31.55,233,NA,NA,NA,NA,NA
9,28,1993,12:45, ,877-76348,Red-tailed,Imature,NA,400,980,25.7,29.3,214,NA,NA,NA,NA,NA
9,29,1993,9:53, ,877-76349,Red-tailed,Imature,NA,422,1120,26.4,28.3,233,NA,NA,NA,NA,NA
9,29,1993,10:25, ,1253-98803,Sharp-shinned,Imature,Female,202,134,12.4,13.7,158,NA,NA,NA,NA,NA
9,29,1993,15:30, ,877-76350,Red-tailed,Imature,NA,394,1270,27.8,31.6,245,NA,NA,NA,NA,NA
9,30,1993,13:25, ,787-53708,Red-tailed,Imature,NA,369,880,25,26.5,210,NA,NA,NA,NA,NA
10,1,1993,10:20, ,745-49512,Coopers,Imature,Female,252,340,16,20.8,230,NA,NA,NA,NA,NA
10,1,1993,10:45, ,745-49513,Coopers,Adult,Male,240,340,16.1,19.3,192,NA,NA,NA,NA,NA
10,3,1993,13:35, ,1207-55922,Red-tailed,Imature,NA,410,1255,29.7,31.4,229,NA,NA,NA,NA,NA
10,4,1993,11:25, ,1207-55923,Red-tailed,Imature,NA,241,1320,28.6,36.4,235,NA,NA,NA,NA,NA
10,7,1993,14:40, ,1207-55924,Red-tailed,Imature,NA,408,1320,30,33.4,221,NA,NA,NA,NA,NA
10,9,1993,9:38, ,877-76351,Red-tailed,Imature,NA,37.2,1180,20.2,26.65,210,NA,NA,NA,NA,NA
10,9,1993,10:20, ,877-76552,Red-tailed,Imature,NA,380,760,24.5,26.1,212,NA,NA,NA,NA,NA
10,10,1993,11:25, ,1207-55927,Red-tailed,Imature,NA,396,1250,26.6,32.5,225,NA,NA,NA,NA,NA
10,10,1993,13:27, ,877-76353,Red-tailed,Imature,NA,326,NA,25.2,27.7,215,NA,NA,NA,NA,NA
10,11,1993,11:35, ,1173-19906,Sharp-shinned,Imature,Male,158,100,10.8,10.5,122,NA,NA,NA,NA,NA
