player,team,salary_2025_2026,position,age,points_per_game,assists_per_game,blocks_per_game,rebounds_per_game,steals_per_game,draft_year,pick_number,team_drafted_by,college,years_played,win_shares,win_shares_per_year
Stephen Curry,GSW,59606817,PG,36,24.5,6,0.4,4.5,1.1,2009,7,GSW,Davidson,16,143.1,8.94375
Joel Embiid,PHI,55224526,C,30,23.8,4.5,0.9,8.2,0.7,2014,3,PHI,Kansas,9,64.9,7.211111111111112
Nikola Jokić,DEN,55224526,C,29,29.6,10.2,0.6,12.8,1.8,2014,41,DEN,NA,10,128,12.8
Kevin Durant,HOU,54708609,PF,36,26.6,4.2,1.2,6.1000000000000005,0.8,2007,2,SEA,Texas,17,175.4,10.31764705882353
Jayson Tatum,BOS,54126450,PF,26,26.8,6,0.5,8.7,1.1,2017,3,BOS,Duke,8,65.5,8.1875
Giannis Antetokounmpo,MIL,54126450,PF,30,30.4,6.5,1.2,11.899999999999999,0.9,2013,15,MIL,NA,12,120.8,10.066666666666666
Anthony Davis,DAL,54126450,C,31,24.7,3.5,2.2,11.5,1.2,2012,1,NOH,Kentucky,13,118.8,9.138461538461538
Jimmy Butler,GSW,54126450,SF,35,17.5,5.4,0.3,5.4,1.4,2011,30,CHI,Marquette,14,123.7,8.835714285714285
Damian Lillard,MIL,54126450,PG,34,24.9,7.1,0.2,4.7,1.2,2012,6,POR,Weber State,13,118.4,9.107692307692307
Bradley Beal,PHO,53666270,SG,31,17,3.7,0.5,3.3000000000000003,1.1,2012,3,WAS,Florida,13,58.6,4.507692307692308
Jaylen Brown,BOS,53142264,SF,28,22.2,4.5,0.3,5.8,1.2,2016,3,BOS,California,9,40.6,4.511111111111111
Devin Booker,PHO,53142264,SG,28,25.6,7.1,0.2,4.1,0.9,2015,13,PHO,Kentucky,10,51.5,5.15
Karl-Anthony Towns,NYK,53142264,C,29,24.4,3.1,0.7,12.700000000000001,1,2015,1,MIN,Kentucky,10,85.1,8.51
LeBron James,LAL,52627153,SF,40,24.4,8.2,0.6,7.8,1,2003,1,CLE,NA,22,271.4,12.336363636363636
Paul George,PHI,51666090,PF,34,16.2,4.3,0.5,5.3999999999999995,1.8,2010,10,IND,Fresno State,15,89.5,5.966666666666667
Kawhi Leonard,LAC,50000000,SF,33,21.5,3.1,0.5,5.9,1.6,2011,15,IND,San Diego State,13,102.7,7.9
Zach LaVine,SAC,47499660,SG,29,23.3,4.2,0.2,4.3,0.8,2014,13,MIN,UCLA,11,37.3,3.3909090909090907
Evan Mobley,CLE,46394100,PF,23,18.5,3.2,1.6,9.3,0.9,2021,3,CLE,USC,4,28.3,7.075
Jamal Murray,DEN,46394100,PG,27,21.4,6,0.5,3.9000000000000004,1.4,2016,7,DEN,Kentucky,8,38.1,4.7625
Lauri Markkanen,UTA,46394100,PF,27,19,1.5,0.4,5.9,0.7,2017,7,MIN,Arizona,8,33.1,4.1375
Donovan Mitchell,CLE,46394100,SG,28,24,5,0.2,4.5,1.3,2017,13,DEN,Louisville,8,51.9,6.4875
Luka Dončić,LAL,45999660,PG,25,28.2,7.7,0.4,8.200000000000001,1.8,2018,3,ATL,NA,7,57.1,8.157142857142857
Trae Young,ATL,45999660,PG,26,24.2,11.6,0.2,3.1,1.2,2018,5,DAL,Oklahoma,7,43.3,6.185714285714285
Anthony Edwards,MIN,45550512,SG,23,27.6,4.5,0.6,5.7,1.2,2020,1,MIN,Georgia,5,24.8,4.96
Tyrese Haliburton,IND,45550512,PG,24,18.6,9.2,0.7,3.6,1.4,2020,12,SAC,Iowa State,5,37.6,7.5200000000000005
Pascal Siakam,IND,45550512,PF,30,20.2,3.4,0.5,6.9,0.9,2016,27,TOR,New Mexico State,9,55.5,6.166666666666667
Domantas Sabonis,SAC,43636000,C,28,19.1,6,0.4,13.899999999999999,0.7,2016,11,ORL,Gonzaga,9,69.9,7.7666666666666675
OG Anunoby,NYK,39568966,PF,27,18,2.2,0.9,4.8,1.5,2017,23,TOR,Indiana,8,31.4,3.925
Zion Williamson,NOP,39446090,PF,24,24.6,5.3,0.9,7.2,1.2,2019,1,NOP,Duke,5,24.2,4.84
Ja Morant,MEM,39446090,PG,25,23.2,7.3,0.2,4.1,1.2,2019,2,MEM,Murray State,6,24.1,4.016666666666667
Darius Garland,CLE,39446090,PG,25,20.6,6.7,0.1,2.8000000000000003,1.2,2019,5,CLE,Vanderbilt,6,24.6,4.1000000000000005
Scottie Barnes,TOR,38661750,PF,23,19.3,5.8,1,7.7,1.4,2021,4,TOR,Florida State,4,19.4,4.85
Franz Wagner,ORL,38661750,SF,23,24.2,4.7,0.4,5.7,1.3,2021,8,ORL,Michigan,4,21.4,5.35
Cade Cunningham,DET,38661750,PG,23,26.1,9.1,0.8,6.1,1,2021,1,DET,Oklahoma State,4,7,1.75
Shai Gilgeous-Alexander,OKC,38333050,PG,26,32.7,6.4,1,5,1.7,2018,11,CHO,Kentucky,7,60.4,8.628571428571428
Michael Porter Jr.,BRK,38333050,SF,26,18.2,2.1,0.5,7,0.6,2018,14,DEN,Missouri,6,26.5,4.416666666666667
Brandon Ingram,TOR,38095238,SF,27,22.2,5.2,0.6,5.5,0.9,2016,2,LAL,Duke,9,27.3,3.033333333333333
Tyrese Maxey,PHI,37958760,PG,24,26.3,6.1,0.4,3.4,1.8,2020,21,PHI,Kentucky,5,26.5,5.3
LaMelo Ball,CHO,37958760,PG,23,25.2,7.4,0.3,4.9,1.1,2020,3,CHO,NA,5,13.6,2.7199999999999998
Bam Adebayo,MIA,37096620,C,27,18.1,4.3,0.7,9.6,1.3,2017,14,MIA,Kentucky,8,57.6,7.2
De'Aaron Fox,SAS,37096620,PG,27,23.5,6.3,0.4,4.8,1.5,2017,5,SAC,Kentucky,8,33.9,4.2375
Desmond Bane,ORL,36725670,SG,26,19.2,5.3,0.4,6.1000000000000005,1.2,2020,30,BOS,TCU,5,25.5,5.1
Deandre Ayton,POR,35550814,C,26,14.4,1.6,1,10.2,0.8,2018,1,PHO,Arizona,7,37.6,5.371428571428572
Jalen Suggs,ORL,35000000,PG,23,16.2,3.7,0.9,4.1,1.5,2021,5,ORL,Gonzaga,4,5.6,1.4
Rudy Gobert,MIN,35000000,C,32,12,1.8,1.4,10.9,0.8,2013,27,DEN,NA,12,116.1,9.674999999999999
Jaren Jackson Jr.,MEM,35000000,C,25,22.2,2,1.5,5.6000000000000005,1.2,2018,4,MEM,Michigan State,7,28.8,4.114285714285715
Jalen Brunson,NYK,34944001,PG,28,26,7.3,0.1,2.9,0.9,2018,33,DAL,Villanova,7,45.5,6.5
Alperen Şengün,HOU,33944954,C,22,19.1,4.9,0.8,10.3,1.1,2021,16,OKC,NA,4,22.5,5.625
Jalen Green,PHO,33333333,SG,22,21,3.4,0.3,4.5,0.9,2021,2,HOU,NA,4,10.7,2.675
Khris Middleton,WAS,33296296,SF,33,11.9,4.1,0.2,3.8,0.9,2012,39,DET,Texas A&M,13,57.9,4.453846153846154
Immanuel Quickley,TOR,32500000,PG,25,17.1,5.8,0.1,3.6,0.7,2020,25,OKC,Kentucky,5,21.3,4.26
Jrue Holiday,POR,32400000,PG,34,11.1,3.9,0.4,4.2,1.1,2009,17,PHI,UCLA,16,74.6,4.6625
Jerami Grant,POR,32000001,PF,30,14.4,2.1,1,3.5,0.9,2014,39,PHI,Syracuse,11,36.6,3.3272727272727276
Jordan Poole,NOP,31848215,SG,25,20.5,4.5,0.4,3,1.3,2019,28,GSW,Michigan,6,11.3,1.8833333333333335
Dejounte Murray,NOP,31557103,PG,28,17.5,7.4,0.4,6.4,2,2016,29,SAS,Washington,8,26.2,3.275
Tyler Herro,MIA,31000000,SG,25,23.9,5.5,0.2,5.2,0.9,2019,13,MIA,Kentucky,6,19.9,3.3166666666666664
Kristaps Porziņģis,ATL,30731707,C,29,19.5,2.1,1.5,6.699999999999999,0.7,2015,4,NYK,NA,9,48,5.333333333333333
CJ McCollum,WAS,30666666,PG,33,21.1,4.1,0.4,3.8,0.8,2013,10,POR,Lehigh,12,52,4.333333333333333
Jalen Johnson,ATL,30000000,SF,23,18.9,5,1,10,1.6,2021,20,ATL,Duke,4,8.4,2.1
Isaiah Hartenstein,OKC,28500000,C,26,11.2,3.8,1.1,10.8,0.8,2017,43,HOU,NA,7,28,4
Andrew Wiggins,MIA,28223215,SF,29,18,2.6,0.8,4.5,1,2014,1,CLE,Kansas,11,33.1,3.0090909090909093
Derrick White,BOS,28100000,SG,30,16.4,4.8,1.1,4.5,0.9,2017,29,SAS,Colorado,8,39.7,4.9625
RJ Barrett,TOR,27705357,SF,24,21.1,5.4,0.3,6.4,0.8,2019,3,NYK,Duke,6,13.3,2.216666666666667
Anfernee Simons,BOS,27678571,SG,25,19.3,4.8,0.1,2.6999999999999997,0.9,2018,24,POR,NA,7,12.8,1.8285714285714287
Devin Vassell,SAS,27000000,SG,24,16.3,2.9,0.5,4,1.3,2020,11,SAS,Florida State,5,11.9,2.38
Terry Rozier,MIA,26643031,PG,30,10.6,2.6,0.2,3.7,0.6,2015,16,BOS,Louisville,10,30.6,3.06
Tobias Harris,DET,26634146,PF,32,13.7,2.2,0.8,5.9,1,2011,19,CHA,Tennessee,14,75.3,5.378571428571428
John Collins,LAC,26580000,PF,27,19,2,1,8.2,1,2017,19,ATL,Wake Forest,8,39.2,4.9
Draymond Green,GSW,25892857,PF,34,9,5.6,1,6.1,1.5,2012,35,GSW,Michigan State,13,64.6,4.9692307692307685
Nic Claxton,BRK,25352272,C,25,10.3,2.2,1.4,7.3,0.9,2019,31,BRK,Georgia,6,26.1,4.3500000000000005
Trey Murphy III,NOP,25000000,SF,24,21.2,3.5,0.7,5.1000000000000005,1.1,2021,17,MEM,Virginia,4,18.4,4.6
Miles Bridges,CHO,25000000,PF,26,20.3,3.9,0.7,7.5,0.7,2018,12,LAC,Michigan State,6,21.3,3.5500000000000003
Mikal Bridges,NYK,24900000,SF,28,17.6,3.7,0.5,3.1999999999999997,0.9,2018,10,PHI,Villanova,7,42,6
Jaden McDaniels,MIN,24858622,PF,24,12.2,2,0.9,5.800000000000001,1.3,2020,28,LAL,Washington,5,17.9,3.5799999999999996
DeMar DeRozan,SAC,24570000,SF,35,22.2,4.4,0.4,3.8000000000000003,0.8,2009,9,TOR,USC,16,108.5,6.78125
De'Andre Hunter,CLE,23303571,SF,27,17,1.4,0.2,4,0.8,2019,4,LAL,Virginia,6,12.1,2.0166666666666666
Aaron Gordon,DEN,22841455,PF,29,14.7,3.2,0.3,4.9,0.5,2014,4,ORL,Arizona,11,46.9,4.263636363636364
Kyle Kuzma,MIL,22410605,PF,29,14.8,2.3,0.3,5.7,0.6,2017,27,BRK,Utah,8,14.4,1.8
Kentavious Caldwell-Pope,MEM,21621500,SG,31,8.7,1.8,0.4,2.2,1.3,2013,8,DET,Georgia,12,48.5,4.041666666666667
Marcus Smart,WAS,21586855,PG,30,9,3.2,0.3,2.1,1.1,2014,6,BOS,Oklahoma State,11,34.2,3.1090909090909093
Nikola Vučević,CHI,21481481,C,34,18.5,3.5,0.7,10,0.8,2011,16,PHI,USC,14,79.9,5.707142857142857
Dillon Brooks,PHO,21124110,SF,29,14,1.7,0.2,3.7,0.8,2017,45,HOU,Oregon,8,14.7,1.8375
Cameron Johnson,DEN,20543478,PF,28,18.8,3.4,0.4,4.3,0.9,2019,11,MIN,UNC,6,22.9,3.8166666666666664
Norman Powell,MIA,20482758,SG,31,21.8,2.1,0.2,3.1999999999999997,1.2,2015,46,MIL,UCLA,10,32.4,3.2399999999999998
Jarrett Allen,CLE,20000000,C,26,13.5,1.9,0.9,9.7,0.9,2017,22,BRK,Texas,8,66.7,8.3375
Jakob Poeltl,TOR,19500000,C,29,14.5,2.8,1.2,9.6,1.2,2016,9,TOR,Utah,9,44.2,4.911111111111111
Josh Hart,NYK,19472240,SG,29,13.6,5.9,0.4,9.6,1.5,2017,30,UTA,Villanova,8,36.7,4.5875
Jusuf Nurkić,UTA,19375000,C,30,8.9,2.3,0.7,7.8,0.8,2014,16,CHI,NA,11,33.2,3.0181818181818185
Collin Sexton,CHO,19175000,SG,26,18.4,4.2,0.1,2.8,0.7,2018,8,CLE,Alabama,7,15.8,2.257142857142857
Harrison Barnes,SAS,19000000,PF,32,12.3,1.7,0.2,3.8,0.5,2012,7,GSW,UNC,13,61.6,4.7384615384615385
Malik Monk,SAC,18797619,SG,26,17.2,5.6,0.6,3.8,0.9,2017,11,CHO,Kentucky,8,15.2,1.9
Rui Hachimura,LAL,18259259,PF,26,13.1,1.4,0.4,5,0.8,2019,9,WAS,Gonzaga,6,15.6,2.6
Alex Caruso,OKC,18102000,SG,30,7.1,2.5,0.6,2.9000000000000004,1.6,NA,NA,NA,NA,NA,NA,NA
Ivica Zubac,LAC,18102000,C,27,16.8,2.7,1.1,12.7,0.7,2016,32,LAL,NA,9,51.3,5.699999999999999
